省份,年份,行政区划代码,总人口,城镇人口,乡村人口,0-14岁,15-64岁,65岁及以上,平均家庭规模,户数,城镇化率,乡村人口占比,0-14岁占比,15-64岁占比,65岁及以上占比
云南,2006,530000.0,4483.0,1367.0,3116.0,1017.48,3128.2,337.32,3.64,11366.0,0.30492973455275485,0.6950702654472452,0.22696408654918582,0.6977916573722953,0.07524425607851885
云南,2007,530000.0,4514.0,1426.0,3088.0,1016.91,3160.86,336.23,3.65,11279.0,0.31590607000443066,0.6840939299955694,0.225279131590607,0.7002348249889234,0.07448604342046966
云南,2008,530000.0,4543.0,1499.0,3044.0,1005.52,3179.67,357.81,3.63,11277.0,0.3299581774158045,0.6700418225841954,0.22133392031697116,0.6999053488883997,0.0787607307946291
云南,2009,530000.0,4571.0,1554.0,3017.0,982.89,3195.18,392.93,3.58,11327.0,0.33996937212863704,0.6600306278713629,0.21502734631371692,0.6990111572959965,0.0859614963902866
云南,2010,530000.0,4602.0,1597.0,3005.0,943.58,3284.41,374.01,3.45,11514.0,0.34702303346371144,0.6529769665362886,0.20503694046066928,0.7136918730986527,0.08127118644067796
云南,2011,530000.0,4620.0,1690.0,2930.0,904.27,3360.64,355.1,3.31,11701.0,0.3658008658008658,0.6341991341991342,0.19572943722943723,0.7274112554112554,0.07686147186147187
云南,2012,530000.0,4631.0,1782.0,2849.0,905.71,3366.13,359.16,3.26,11746.0,0.3847980997624703,0.6152019002375297,0.19557546966098036,0.7268689267976679,0.07755560354135177
云南,2013,530000.0,4641.0,1856.0,2785.0,929.3,3339.85,371.84,3.28,11739.0,0.3999138116785176,0.6000861883214824,0.2002370178840767,0.7196401637578108,0.0801206636500754
云南,2014,530000.0,4653.0,1918.0,2735.0,881.99,3365.18,405.83,3.3,11638.0,0.412207178164625,0.5877928218353751,0.18955297657425318,0.7232280249301526,0.08721899849559424
云南,2015,530000.0,4663.0,2002.0,2661.0,897.68,3366.52,398.8,3.43,11460.0,0.4293373364786618,0.5706626635213382,0.19251125884623632,0.7219644006004718,0.08552434055329187
云南,2016,530000.0,4677.0,2088.0,2589.0,913.37,3371.86,391.77,3.55,11282.0,0.44644002565747276,0.5535599743425272,0.19528971562967715,0.7209450502458842,0.08376523412443874
云南,2017,530000.0,4693.0,2172.0,2521.0,888.52,3410.24,394.25,3.53,11090.0,0.46281696143191986,0.5371830385680801,0.18932878755593438,0.7266652461112294,0.0840080971659919
云南,2018,530000.0,4703.0,2231.0,2472.0,850.32,3402.35,450.33,3.3,11840.0,0.47437805655964277,0.5256219434403572,0.18080374229215396,0.7234424835211567,0.09575377418668934
云南,2019,530000.0,4714.0,2294.0,2420.0,850.34,3397.74,465.92,3.28,11482.0,0.4866355536699194,0.5133644463300806,0.18038608400509124,0.7207764106915571,0.09883750530335172
云南,2020,530000.0,4722.0,2363.0,2359.0,876.44,3348.21,497.35,3.19,13576.0,0.5004235493434985,0.49957645065650147,0.18560779330792038,0.7090660736975858,0.10532613299449387
