省份,行政区划代码,总人口_均值,总人口_最新年值,总人口_首年值,总人口_变化量,总人口_变化率,总人口_线性趋势斜率,城镇人口_均值,城镇人口_最新年值,城镇人口_首年值,城镇人口_变化量,城镇人口_变化率,城镇人口_线性趋势斜率,乡村人口_均值,乡村人口_最新年值,乡村人口_首年值,乡村人口_变化量,乡村人口_变化率,乡村人口_线性趋势斜率,0-14岁_均值,0-14岁_最新年值,0-14岁_首年值,0-14岁_变化量,0-14岁_变化率,0-14岁_线性趋势斜率,15-64岁_均值,15-64岁_最新年值,15-64岁_首年值,15-64岁_变化量,15-64岁_变化率,15-64岁_线性趋势斜率,65岁及以上_均值,65岁及以上_最新年值,65岁及以上_首年值,65岁及以上_变化量,65岁及以上_变化率,65岁及以上_线性趋势斜率,平均家庭规模_均值,平均家庭规模_最新年值,平均家庭规模_首年值,平均家庭规模_变化量,平均家庭规模_变化率,平均家庭规模_线性趋势斜率,户数_均值,户数_最新年值,户数_首年值,户数_变化量,户数_变化率,户数_线性趋势斜率,城镇化率_均值,城镇化率_最新年值,城镇化率_首年值,城镇化率_变化量,城镇化率_变化率,城镇化率_线性趋势斜率,乡村人口占比_均值,乡村人口占比_最新年值,乡村人口占比_首年值,乡村人口占比_变化量,乡村人口占比_变化率,乡村人口占比_线性趋势斜率,0-14岁占比_均值,0-14岁占比_最新年值,0-14岁占比_首年值,0-14岁占比_变化量,0-14岁占比_变化率,0-14岁占比_线性趋势斜率,15-64岁占比_均值,15-64岁占比_最新年值,15-64岁占比_首年值,15-64岁占比_变化量,15-64岁占比_变化率,15-64岁占比_线性趋势斜率,65岁及以上占比_均值,65岁及以上占比_最新年值,65岁及以上占比_首年值,65岁及以上占比_变化量,65岁及以上占比_变化率,65岁及以上占比_线性趋势斜率
上海,310000.0,-0.7606070765337772,-0.682838982279465,-0.9409800683423802,0.4791646341092178,1.9284143201677273,0.3908380576026974,-0.21025484772684544,-0.3874298152578516,-0.053376846301255845,-0.6256551846484352,-0.7157940374260345,-0.635081010353969,-1.2642454442612503,-1.197520656711922,-1.2765570285440857,1.3062978241930103,3.640443509204302,1.2972069540592674,-1.0741873165339086,-0.9183277817485777,-1.1651945413766713,0.2432184460172569,2.0337927300495986,0.5763669564637697,-0.7151456882169901,-0.6639545280704879,-0.8114957521592311,0.09292817764631298,1.459657113338495,0.2757882088938693,-0.4664358876779209,-0.4206566905121918,-0.38354904684663865,-0.36673912661284935,0.2692638512040411,-0.48659686354308707,-1.7029021262809019,-1.3000260473723004,-0.9871540888565082,0.15588168933897834,-0.24600756778038702,0.5365324211508878,-0.649514553515098,-0.5738182100059294,-0.9549935239806667,0.03315116389240818,1.6336144218713247,0.2466204370476204,2.604785098774459,2.2930427990696205,2.663096125396018,-2.5691113261752596,-1.2374893755091185,-2.6381600513973784,-2.6115751545856543,-2.2933462785792114,-2.663096125396019,2.5695440762959425,3.1898348926785403,2.6039621316265698,-2.1189748511714295,-1.6704474070582687,-1.7292123038360265,0.7038852950917579,1.5416104436106788,1.289686393068734,1.4539236282339678,0.5828947922492325,0.53356586055521,-0.46259117997172605,-0.9540745273196454,-0.5995950884530215,1.9583163277814464,1.4068575906644947,2.6916099457266203,-0.23450515187110146,-0.9419603882397954,-0.8323304827112884
云南,530000.0,0.07945241288494267,0.039386317027069094,0.06710078322458295,-0.06770762653891627,-0.3001367533687026,-0.135289995608839,-0.3394632052863895,-0.24825729279746067,-0.5006726129811548,-0.010728610953778096,0.22270825599393876,-0.038640763402344035,0.5250145881224775,0.6113035411519143,0.3615237431414958,-0.04951723436471246,0.023491441597458862,-0.09696371644677959,0.34869331076689025,0.20121679124306327,0.661329385043381,-0.5755037596450968,-0.5803205360040685,-0.8404055653187634,0.06487735702127594,0.07470254312667686,0.07489577297533928,0.012922471302164354,0.15587828163664333,0.08882853057075282,-0.19460470198787683,-0.2965647572749367,0.06210733192989521,-0.47631997040993135,-1.1500037399391927,-0.44956180495874254,0.8947888463862538,0.6712091005454821,0.059874042714470985,0.42139445689437804,0.4546438096796534,0.1794073483836689,-0.08733611938626762,-0.08238037490696376,-0.044719971047544244,-0.1081948433503471,-0.25974585062380673,-0.11300203482179208,-1.081670986207592,-1.259835072371911,-0.8518025274792885,0.3071293537526897,0.39148743625575877,0.29494837118372985,1.077368157642149,1.2603901725046123,0.8518025274792872,-0.3073155714448199,0.39438807410307924,-0.3145081070599564,0.8206671398495213,0.562844660559024,1.1029185716540402,-0.8291716089345647,-0.7017028876871854,-0.9894713549534195,-0.43761586745086906,0.504881672672101,-0.20372440533018127,0.2956237801101343,1.7077558680828986,0.7593455075104645,-0.7843324088317725,-0.8840702024378361,-0.11766464671504176,-0.8578454346736726,-0.6693467753808328,-0.7137263539772123
内蒙古,150000.0,-0.6902726502830796,-0.7133882822961092,-0.6487438640317446,-0.543977122683243,-0.7565490447884584,-0.5646952850689034,-0.5849108136253393,-0.6457377340874992,-0.412045729983,-0.7725516862015264,-0.6903384996331594,-0.7678862198942801,-0.7169873997431914,-0.768356953715566,-0.6789015231373889,0.5399110555055819,-0.634062395147083,0.48106669814837844,-0.7808594460405167,-0.8003592420325163,-0.6066913455516075,-0.3138396696736269,-0.8392280451664557,-0.4535275222944171,-0.648909401039062,-0.6811746350322216,-0.5116700681624425,-0.3618693611019684,-0.7795610815540321,-0.4210644863692099,-0.7371489342895555,-0.6695917440720462,-0.6896394393270556,-0.5319533218761421,0.8660332917379404,-0.6276921677580041,-0.9677508835640677,-0.7159563739151807,-0.9633579949571672,0.5541508406720779,0.3024235935864637,-0.04915269818731657,-0.6124819371888444,-0.6788462586206974,-0.5901017100085125,-0.6206359687917014,-0.635979672960485,-0.45797241106051756,0.31499239778044996,0.39233318632956166,0.3170772511890386,-0.18924237276940428,-0.5530190536703431,-0.09592279835155151,-0.32005892079236575,-0.3923688663218328,-0.3170772511890401,0.1894065730166841,-0.31923563274220096,0.07442565099171011,-0.6958932360184613,-0.8698428874151345,-0.15248187729897517,-0.48455119634079824,-0.8184803658260402,-0.6326627848459795,1.1578611439749864,1.167742285912083,0.399147609394195,-0.22635888178108865,-0.18041952025128824,-0.05040964878396124,-0.39561497459379097,0.22716257964792877,-0.5774105719995445,0.6085490467933391,1.1130945901996074,0.4117540343631073
北京,110000.0,-0.8720821284854939,-0.7814600921158055,-1.0348173816531347,0.41693846878382834,2.2252949314680803,0.42578652494986574,-0.42733988435059733,-0.5323025959177285,-0.35376699037482273,-0.6250419072935733,-0.5742073873252305,-0.5700423894503507,-1.2458287466472806,-1.1927201678640882,-1.245648942051142,1.2461850685015685,2.078826656771765,1.2419434148927806,-1.0811260185496079,-0.8704107023293963,-1.1959371030308337,0.3482645721347089,3.2463317832372964,0.6718210034648424,-0.8232567514789708,-0.7513815553172356,-0.8944490357204476,0.07110773210706654,1.6069265188321835,0.3294484516438207,-0.7743566339977073,-0.7181476426163699,-0.7472537012755868,-0.5655478966458208,1.0255513568570735,-0.6153250140609117,-1.525573312143136,-1.2635216927812312,-0.7967853376617847,-0.02997724794980286,-0.41341559886223694,1.1047580924871259,-0.8091707784104476,-0.6944461355793642,-1.1500521424663357,0.03315116389240818,2.832600136663453,0.14991582506458184,2.354180472605876,2.130994328301056,2.3188803567522944,-2.10571429634745,-1.1654961911696196,-2.1533411041167256,-2.3607558749479742,-2.133042074694296,-2.3188803567522953,2.1044755838078246,0.9287048623000768,2.1209733200810983,-1.792513237125783,-1.0124059167210466,-1.64037871603599,1.1006273956254193,2.900160477451196,1.4593313659169151,1.9323253350521032,1.211887951131549,0.742498693819886,-0.5781759553359447,-1.2649557489838834,-0.7344854725850793,0.5135293137373199,0.35036642619042047,1.1708771170565235,-0.37812356907807004,-0.7043791663658457,-0.7767380581991488
吉林,220000.0,-0.6255964925393118,-0.7369643725263455,-0.5300109369854837,-0.9999034493942695,-1.4739552379027614,-1.017508366669739,-0.5357567075915032,-0.724731816413317,-0.050949391149266096,-1.2112604707552315,-1.1679262967648119,-1.213842774456987,-0.6438419187661085,-0.6781077633762875,-0.7078280495990731,0.707713586201229,-0.10539250299909776,0.6348805549406678,-0.8293571914644862,-0.9287837849499373,-0.6230020934773529,-0.4684266389208709,-1.3102885822085908,-0.5914888821139463,-0.5664242445832535,-0.7149345964233406,-0.3500124742845041,-0.6462822154416188,-1.6200827226914036,-0.9311945880245388,-0.5943133453278721,-0.5302465397407211,-0.5858776044449326,-0.3952148200079512,1.0283528298662095,-0.44198690765830556,-0.7669348092756015,-1.1905129835990909,-0.320863459674976,-0.5079002295495244,-0.8132371757524951,-1.134812919399549,-0.5496361644718921,-0.6441427890228074,-0.559750265223398,-0.5891341165357314,-0.5996405340017704,-0.5370773302369546,0.25564684621716355,-0.09974240930324185,0.7713035123699443,-1.4908516373078817,-0.9699668706296843,-1.4481018407118431,-0.2608925634640274,0.10042469268681145,-0.7713035123699455,1.4910106634281115,1.8197651181978287,1.4197417743330434,-1.219909271839525,-1.5558190519470505,-0.5750474874468582,-0.5226833995020972,-1.2101891051220302,-0.3124807137865354,1.4017239152864729,0.7806871991493821,0.5700163883988554,-0.46835116193082554,-0.9614027377241694,-0.8761818414211987,0.2478537788305156,1.1712797138933497,-0.5339111451307685,1.577136973525789,2.095219094091847,1.6117320192987703
四川,510000.0,1.384936717642037,1.2709879883502575,1.6328433824668873,-0.5212406391989661,-0.7693222101689174,-0.3298876703869492,0.8134830027216918,0.9530793079436173,0.49553516543499576,1.2344564703070857,0.17097507941981976,1.1796066291152463,1.8269101170878121,1.7643809624016318,1.9991210779293709,-2.176342250229232,-0.6676967330163177,-2.0195904555672834,1.2607009305843684,0.8364189857256717,1.832604993137625,-1.2135959892670156,-0.8127268948999814,-1.7507539312746754,1.3479328017910255,1.2361948705382848,1.7429181487253378,-0.5036244381144201,-0.7588660335796558,-0.5583470690723108,1.9340535225769795,1.750023590437057,2.158077675423858,1.1573694876870941,-0.5344225132253518,1.6409695276832694,-0.5496776528816477,-0.1683910550491304,-0.7729892437624438,0.7400097779608579,0.6113049831015369,0.7166821800800878,1.5931028318067073,1.2844858495195433,2.002721046501201,0.09087707116774581,-0.7822635927986176,-0.11110073704076748,-0.7360859292482697,-0.6643789922612925,-0.8041044114052379,0.8030899703744979,0.5887738718087804,0.7792399469533864,0.7315133196711063,0.6646367117820491,0.8041044114052371,-0.8030320961330251,-0.37096095404005214,-0.7957710838946574,-0.055566593434950406,-0.474436725833533,0.17336068251065517,-0.55618356873146,-0.7502659039863088,-0.6912802530878632,-0.688592664251119,-0.6901000794116087,0.054458564617831745,-0.16983707449460247,-0.046753157748856085,-0.33906708608499947,1.382551532336388,0.8999089354561439,0.7044897690910289,0.4997340414204317,0.09313127488559995,1.0349731332473409
天津,120000.0,-1.1065063414371574,-1.0534152737857143,-1.1738498091298852,-0.12873713483881744,1.0309264676655407,-0.08361619031695461,-0.8194328571568078,-0.8928367418358045,-0.6669087049814947,-0.9868838341939684,-0.8088937005901954,-0.9340930276483548,-1.2774557917921106,-1.2560866206554964,-1.2705910984767814,1.22465163495659,1.607018679164473,1.2208198734475781,-1.1841791063953793,-1.0504570596132432,-1.2082701072835111,0.11799091779451856,1.1384774047265063,0.28805668207713164,-1.0984725260593602,-1.0510570905500018,-1.0670075943747497,-0.16296401588686862,0.5373434208464427,-0.04196210263115264,-0.9788946736275485,-0.9403738220306574,-0.9385835979820005,-0.7666862174839889,1.027062812959188,-0.829178672713197,-0.9783201506318804,-0.7159563739151807,-0.9871540888565082,0.5807021174276186,0.33019821892607315,0.2278176360254522,-1.0823604285717572,-1.027799656043711,-1.1988842447428312,-0.5662086847892401,0.632609008663914,-0.33524695778289354,2.087768177703916,1.9113385680484867,2.21471102536149,-2.13227332757648,-1.1672960578445026,-2.1817747784729127,-2.0940306071060015,-1.9111982040248303,-2.2147110253614906,2.133020916204358,1.4487065002356037,2.150400315610805,-1.4506852770389367,-0.9686270266193687,-1.1335747502111213,0.5570709162984187,1.0607083317439414,0.6353577811959079,1.2794642419880382,0.13498126502344046,0.5601325426888136,-0.563643811104058,-1.2861421656924548,-0.5406544296896826,0.9114770786580106,0.9344386173099869,0.9792340807668408,0.3606855985903947,-0.1309797566329883,-0.1637104702878521
宁夏,640000.0,-1.3230246413922075,-1.2642718554223344,-1.3450550297417518,-0.35370865563061,0.7961090538760297,-0.3789307394005055,-1.2632990764828378,-1.2165826667689628,-1.2905169795375437,-1.0253877070411144,0.5232390782203133,-1.0279418061035046,-1.2174135861564428,-1.216722612103258,-1.1736912192001758,1.0648181702185333,-0.24370273069169496,1.042989391748012,-1.1921044303760144,-1.0994084558958683,-1.2003346085990494,0.04086454032208685,0.3713143466130092,0.22253835289642812,-1.3515739888677938,-1.2553029133876077,-1.2796910970230118,-0.1870256484144543,1.203636035598759,-0.22194017303833574,-1.3186957402921453,-1.333974988443024,-1.22660810491235,-1.15624228568458,-1.1269393212553123,-1.1917726940202407,0.5084234169072799,1.0362526464561812,-0.20188299017827435,0.9789712687607193,1.0602577696865518,0.742077740810196,-0.814545843320128,-0.743998685918659,-0.7840811660129331,-0.5122761942777104,-0.21883038840865476,-0.26083476947458617,-0.14559855060439725,0.1427748291986376,-0.4337650594535599,0.9231652739656988,0.22069265390849643,0.8672515971365339,0.14129291485233833,-0.13840272596465839,0.4337650594535587,-0.9185283028380027,-1.06005611679765,-0.8838837984505863,1.1263756430219638,0.9016606174046222,0.7743220233861664,-0.19895019335812397,0.048222451995837586,0.38335158418809756,-0.29782517737349407,1.4315333680345763,0.002427325850970171,0.2316397744603387,1.4406393875869845,0.2669709611829552,-1.626979277021435,-1.780797857848806,-0.5365811739059152,-1.5366282438130736,-1.2063863794282752,-1.4101952257109656
安徽,340000.0,0.6202641301324429,0.5268468868578701,0.7354522596624061,-0.39918162259916384,-0.6754786379146395,-0.6028202224537447,0.31887199787618387,0.3803710135482038,0.19113228937548674,0.49821700579526923,-0.05374316979841014,0.3769405678793165,0.8461125620649828,0.7610787932043339,0.9176196128255563,-1.0564115440161883,-0.6380212575496523,-1.3085370714290565,0.8185333191839015,0.5524519923074467,1.2606494280061558,-0.8661673675462012,-0.6920742992661489,-1.2928049300482154,0.5629813820245368,0.5035531753057438,0.7482433427185412,-0.259693023751645,-0.47795463975013747,-0.5396768542574284,0.7424823456703848,0.5352288755881377,1.0554970231220748,0.0949717125802813,-1.0711872280900887,0.31048003653077605,-0.09637353197318517,-0.35091282800448,0.5833881084999596,-0.9061693808826251,-0.8856969435208827,-0.06978659128050047,0.6729836091658625,0.5870795854850239,0.6834449131748913,0.3250793235419727,-0.2447528237708786,-0.09220097819500468,-0.5358522180184127,-0.41883585319363,-0.581681296241056,0.641334121712723,0.24180657154513216,0.6038701536207388,0.4955926934073269,0.4194754091307987,0.5816812962410546,-0.6407915991635625,-0.41589841539104866,-0.8107342802068747,0.5186091481348228,0.23393632439778678,0.6984899018558145,-0.6178115062740817,-0.5849542148441329,-0.5627821383619354,-0.9020061439260161,-0.637600366893831,-0.13891844958150537,0.04096344802233505,0.7225112519363786,-0.032281535553816805,0.5884474744768844,0.12811989922379546,0.5335472247536444,-0.2055850803131316,-0.370015352745036,0.2935370269635324
山东,370000.0,1.9024892268961522,1.8407988451824473,1.88907669922156,0.7316592664872403,-0.18647477302387788,0.7818960452538165,1.8182302191621715,1.755148747807759,1.86601689636711,1.475797684508923,-0.32959119713916085,1.4563231410555377,1.7449065904117331,1.804705068723437,1.6196974881369115,-1.3215497157910017,-0.2667987796887792,-1.2426560167610656,1.6473442921220578,1.8206937187400087,1.4365696393964562,0.6413448065299502,0.6279249478585807,1.482494366755597,1.9428113980859176,1.6966092202183174,2.2416809784855647,-0.47692474173597665,-0.7029393439133131,-0.5210293566191014,2.201760695875439,2.2613524661691806,1.9422231050691665,2.049863313935943,0.7587478917268151,2.4473972788986766,-0.7070422958913227,-0.4604258917776894,-0.6302126803664011,0.36829190338329787,0.17207924815994455,0.9944461255656859,2.1864793678699415,1.9989935829472534,2.1337043926627395,1.3433643278789285,-0.15129203802221122,1.0948608222289988,-0.047722557706311966,-0.030148915789965973,-0.07180795541386434,0.10024542051843065,-0.319711035748027,0.05969835341886428,0.04275402568093029,0.030447288765297897,0.07180795541386345,-0.09994386825194236,-0.24474041182026057,-0.08009679372313898,-0.1898870036128928,0.2781663278617761,-0.47947912956950095,0.7560231332021207,1.505423453136174,1.2580345260834902,-0.17006566514617757,-1.6973836360620034,0.4183548141412951,-0.7151365167809715,-1.866374230824055,-1.50253384010483,0.7922633240686686,0.7015786549425158,0.15430949606538072,0.641846839883722,0.525594093109726,0.9357740587384124
