cluster,总人口_均值,总人口_最新年值,总人口_首年值,总人口_变化量,总人口_变化率,总人口_线性趋势斜率,城镇人口_均值,城镇人口_最新年值,城镇人口_首年值,城镇人口_变化量,城镇人口_变化率,城镇人口_线性趋势斜率,乡村人口_均值,乡村人口_最新年值,乡村人口_首年值,乡村人口_变化量,乡村人口_变化率,乡村人口_线性趋势斜率,0-14岁_均值,0-14岁_最新年值,0-14岁_首年值,0-14岁_变化量,0-14岁_变化率,0-14岁_线性趋势斜率,15-64岁_均值,15-64岁_最新年值,15-64岁_首年值,15-64岁_变化量,15-64岁_变化率,15-64岁_线性趋势斜率,65岁及以上_均值,65岁及以上_最新年值,65岁及以上_首年值,65岁及以上_变化量,65岁及以上_变化率,65岁及以上_线性趋势斜率,平均家庭规模_均值,平均家庭规模_最新年值,平均家庭规模_首年值,平均家庭规模_变化量,平均家庭规模_变化率,平均家庭规模_线性趋势斜率,户数_均值,户数_最新年值,户数_首年值,户数_变化量,户数_变化率,户数_线性趋势斜率,城镇化率_均值,城镇化率_最新年值,城镇化率_首年值,城镇化率_变化量,城镇化率_变化率,城镇化率_线性趋势斜率,乡村人口占比_均值,乡村人口占比_最新年值,乡村人口占比_首年值,乡村人口占比_变化量,乡村人口占比_变化率,乡村人口占比_线性趋势斜率,0-14岁占比_均值,0-14岁占比_最新年值,0-14岁占比_首年值,0-14岁占比_变化量,0-14岁占比_变化率,0-14岁占比_线性趋势斜率,15-64岁占比_均值,15-64岁占比_最新年值,15-64岁占比_首年值,15-64岁占比_变化量,15-64岁占比_变化率,15-64岁占比_线性趋势斜率,65岁及以上占比_均值,65岁及以上占比_最新年值,65岁及以上占比_首年值,65岁及以上占比_变化量,65岁及以上占比_变化率,65岁及以上占比_线性趋势斜率
0,7556.354266666666,8032.666666666667,6982.666666666667,1050.0,0.15003267353318356,51.499023931624606,4102.083555555556,5482.446666666667,2551.1233333333334,2931.3233333333333,1.1894132436137403,130.06509572649742,3450.969466666667,2550.222222222222,4431.543333333333,-1881.3211111111111,-0.4185756825822355,-79.13589145299248,1290.5818222222222,1246.3644444444444,1304.6577777777777,-58.29333333333331,-0.04352668043431805,-1.1731008547008746,5414.031866666667,5502.337777777778,5097.085555555556,405.2522222222221,0.08100692240393523,23.416651282051518,851.7406222222221,1283.9622222222222,580.9233333333334,703.0388888888889,1.228763002435018,29.25541880341925,3.0311555555555554,2.4844444444444442,3.3155555555555556,-0.8311111111111111,-0.2470212533291597,-0.025865811965812373,22628.075555555555,32698.222222222223,20780.777777777777,11917.444444444445,0.591995969186238,344.94111111111806,0.5321871908106447,0.6754333299522539,0.3630989946753009,0.31233433527695315,0.9424322711418753,0.013351301778827294,0.46727239746186733,0.3245651494774807,0.6369010053246993,-0.31233585584721846,-0.49232788036725506,-0.013444554820628883,0.17038370849560905,0.15337882586149204,0.1859285494405458,-0.032549723579053745,-0.16744636458297923,-0.0013462323966727469,0.7164428091446003,0.6833137445612866,0.7304515932946544,-0.04713784873336783,-0.0632472780806541,-0.0018631239074108352,0.11317349596588816,0.16330714865902043,0.08361985726479981,0.07968729139422062,0.9641742503765067,0.0032093475173651273
1,9642.92,9785.0,9488.0,297.0,0.031302698145025294,18.61846153846182,4045.2028000000005,5794.68,2077.29,3717.3900000000003,1.7895382926794046,163.99244615384833,5597.7044,3990.0,7410.71,-3420.71,-0.46159005007617354,-145.37693846154036,1862.0615999999998,1894.59,0.0,1894.59,-0.10300172789865125,36.17132307692233,6117.9328000000005,6419.12,0.0,6419.12,0.05425434079541625,106.33917692307415,901.2064,1471.29,0.0,1471.29,1.1961907636214464,44.539553846154135,3.3392,2.67,3.76,-1.0899999999999999,-0.2898936170212766,-0.02704615384615417,26320.8,37218.0,25082.0,12136.0,0.48385296228370944,246.54153846154378,0.4178964258907634,0.5922003065917221,0.21893865935919055,0.3732616472325315,1.7048686071478991,0.01611478472661525,0.5821022659845559,0.4077669902912621,0.7810613406408095,-0.37329435034954733,-0.4779321814126454,-0.016115086601541553,0.19284456538369427,0.19362187020950433,0.0,0.19362187020950433,-0.19304783840127177,0.0033941148413531206,0.6341303177885298,0.6560163515585079,0.0,0.6560163515585079,-0.049339786364657606,0.00987898879230786,0.09302519832562915,0.15036177823198774,0.0,0.15036177823198774,0.8966152332069048,0.0044192095297778695
2,2608.959428571429,2559.4285714285716,2439.0,120.42857142857143,0.1644450085300178,6.4143076923076805,1772.0908,1954.837142857143,1469.74,485.09714285714284,0.38821936819863373,22.898430769231034,836.8626857142857,604.7142857142857,969.26,-364.54571428571427,-0.20017995478763675,-16.481802197802477,310.89428571428573,264.8228571428571,354.15000000000003,-89.32714285714289,0.04060559275199628,-3.604664835164883,1997.1083428571426,1802.3,1896.2057142857143,-93.90571428571431,0.052105087252933724,-1.1893703296704672,300.95702857142857,492.3071428571429,188.64285714285714,303.6642857142857,1.5927309750426797,11.20831978021995,2.7322285714285712,2.2271428571428573,3.174285714285714,-0.9471428571428572,-0.29630210226728465,-0.033820879120879575,8751.188571428573,11841.714285714286,7413.428571428572,4428.285714285715,0.7633244080197247,146.24615384615626,0.7074740035577528,0.7754568680205564,0.6549595180355531,0.12049734998500337,0.22313531737334694,0.00533939774664853,0.292520650084176,0.2245938723046603,0.3450404819644469,-0.12044660965978661,-0.3213222046121218,-0.005338003868121342,0.11791575569746696,0.10606878199812038,0.13623552715311613,-0.03016674515499577,-0.17009731850034843,-0.0012685887016519375,0.7660974267546328,0.7052644406809357,0.7787723492556601,-0.07350790857472436,-0.0941467597003581,-0.002315719078202542,0.11598686759714456,0.18866731551119995,0.08499168080355227,0.10367563470764767,1.3986542487159854,0.003584277169412234
3,2776.4864285714284,2902.3571428571427,2616.785714285714,285.57142857142856,0.16756889932229888,13.692871978022142,1295.6190000000001,1809.2264285714286,735.7357142857144,1073.4907142857144,1.9263077531162254,47.75377582417645,1488.1627714285714,1093.0714285714287,1881.05,-787.9785714285715,-0.3773277117232458,-32.9143373626378,569.0869142857143,534.1307142857142,597.7171428571428,-63.586428571428556,-0.053338000136155826,-2.3859060439560795,1948.483857142857,1986.2042857142858,1827.6914285714286,158.51285714285714,0.15133935541167595,8.49521593406602,258.91488571428573,382.0214285714286,191.37642857142856,190.64499999999998,1.0506809858756792,7.583546153846272,3.3686857142857143,2.7585714285714285,3.685,-0.9264285714285715,-0.2398454156300849,-0.035183516483517065,7871.421428571428,11004.92857142857,8069.5,2935.4285714285716,0.47622528395097613,95.08964285714538,0.45718619938980753,0.6145361892747985,0.27867387598032445,0.335862313294474,1.4831373551845122,0.014512914707201091,0.5446747104678158,0.385419347748652,0.7213261240196756,-0.33590677627102355,-0.46870718317547116,-0.014249251694323705,0.20470515079269033,0.18322298188390335,0.22823269973526875,-0.045009717851365386,-0.19394465695259186,-0.0019518350490770541,0.7053652586689927,0.6896498916437767,0.7000323499418258,-0.010382458298049204,-0.014233201826916536,-0.00020690733749446894,0.08992908985318016,0.12712627859318573,0.07173475430596962,0.0553915242872161,0.7829582510913369,0.002158709727011488
