省份,year,exponential_decline,local_trend,robust_linear,median_robust_trend,indicator,indicator_code,forecast_method
吉林,2026,140.51148239782486,141.732,142.5,141.732,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
吉林,2027,140.946234328596,142.61952,144.0,142.61952,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
吉林,2028,141.33961414312114,143.3827872,145.5,143.3827872,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
吉林,2029,141.6955589188035,144.039196992,147.0,144.039196992,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
吉林,2030,142.01763107059534,144.60370941312,148.5,144.60370941312,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
吉林,2031,142.30905400484394,145.0891900952832,150.0,145.0891900952832,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
吉林,2032,142.5727443802259,145.50670348194356,151.5,145.50670348194356,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
吉林,2033,142.81134129864748,145.86576499447145,153.0,145.86576499447145,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
吉林,2034,143.02723271826335,146.17455789524544,154.5,146.17455789524544,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
吉林,2035,143.22257935296471,146.44011978991108,156.0,146.44011978991108,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
四川,2025,194.02976205390345,194.83,195.13000000000002,194.83,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
四川,2026,193.75809552596104,195.26000000000002,195.93,195.26000000000002,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
四川,2027,193.51228148625083,195.62980000000002,196.73000000000002,195.62980000000002,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
四川,2028,193.28985974524247,195.94782800000002,197.53,195.94782800000002,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
四川,2029,193.08860423139336,196.22133208000002,198.33,196.22133208000002,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
四川,2030,192.90650071187667,196.45654558880003,199.13000000000002,196.45654558880003,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
四川,2031,192.74172663346192,196.658829206368,199.93,196.658829206368,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
四川,2032,192.59263288178985,196.83279311747648,200.73000000000002,196.83279311747648,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
四川,2033,192.4577272764816,196.9824020810298,201.53,196.9824020810298,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
四川,2034,192.3356596368959,197.11106578968563,202.33,197.11106578968563,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
四川,2035,192.22520826906745,197.22171657912963,203.13000000000002,197.22171657912963,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
天津,2025,136.99632066200638,136.88333333333335,137.8,136.99632066200638,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
天津,2026,136.06618775076458,135.96600000000004,137.65,136.06618775076458,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
天津,2027,135.1590199029267,135.17709333333337,137.50000000000003,135.17709333333337,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
天津,2028,134.274250109057,134.49863360000003,137.35000000000002,134.49863360000003,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
天津,2029,133.4113253592326,133.91515822933337,137.20000000000002,133.91515822933337,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
天津,2030,132.5697062973943,133.41336941056002,137.05,133.41336941056002,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
天津,2031,131.7488668842314,132.98183102641497,136.9,132.98183102641497,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
天津,2032,130.94829406839014,132.6107080160502,136.75000000000003,132.6107080160502,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
天津,2033,130.16748746579972,132.29154222713652,136.60000000000002,132.29154222713652,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
天津,2034,129.4059590469161,132.01705964867074,136.45000000000002,132.01705964867074,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
天津,2035,128.66323283168765,131.78100463119017,136.3,131.78100463119017,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
宁夏,2025,87.33103091475739,87.92999999999999,88.22999999999999,87.92999999999999,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
宁夏,2026,87.24147998320109,88.36,89.02999999999999,88.36,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
