cluster,log1p人口密度_最新年值,log1p人口密度_线性趋势斜率,城镇化率_最新年值,城镇化率_线性趋势斜率,老龄人口占比_最新年值,老龄人口占比_线性趋势斜率,少儿人口占比_最新年值,少儿人口占比_线性趋势斜率,平均家庭规模_最新年值,平均家庭规模_线性趋势斜率,log1p人均可支配收入_最新年值,log1p人均可支配收入_线性趋势斜率,log1p人均消费支出_最新年值,log1p人均消费支出_线性趋势斜率,口粮_最新年值,口粮_线性趋势斜率,口粮_变异系数,饲料粮_最新年值,饲料粮_线性趋势斜率,饲料粮_变异系数
0,-0.2390494990706985,-1.191186520613175,0.011270895607221812,-0.08169890944644732,0.7879318088931032,1.1445327849495994,-0.7801288123827259,-0.5111096600961953,-0.801133201294344,-0.3480124273763931,-0.38580142946948676,-0.8822826906846716,-0.3383633584811634,-0.49537961755907545,1.254663164944282,0.8121038022872017,0.021357255720035134,-0.0457530026325258,0.7959654880421004,1.1188996158682067
1,1.4476108413279272,-0.5239331711236994,2.1117918984730544,-2.4527364011072605,0.8972208780549673,0.9065616787149308,-1.2171601167995614,1.1822282079154711,-1.093168038022904,1.149723315699038,2.17292482554427,-0.9720906859456308,2.035346220777637,-1.6861675633906648,-1.6964218689718065,-0.11028951979694612,0.3387117988123011,-0.31099373227087906,-1.085281106110744,-1.4537100303891666
2,-0.4911792129330463,0.16553424248033213,-0.5267446040148692,0.6590776064315957,-0.6876128027925249,-0.6086733502855534,0.7103150599568301,-0.001984359871728665,0.7442178097276215,-0.09957120034495524,-0.6963925732324828,0.23170946573832857,-0.677148010448477,0.10472913966852966,-0.2632351941858244,-0.2485920896451023,-0.026500904765065027,-0.7197646299846566,-0.7161505805105111,-0.4758192288853868
3,0.5273718500774411,0.5785068502612926,0.20853876348039072,0.03755049586516733,0.0017589606948912762,-0.28483041086174654,0.04540589361474501,-0.21188428467807915,0.06523681433371872,0.11073192829570702,0.41715804433527903,0.18192014219401398,0.4668266560381931,0.4693937341334712,0.03815836965712274,0.2681435744332329,-0.5367174528494707,1.0608718023500872,0.8534168616047524,0.3554947451771463
4,-2.7792826880704826,1.11297346715357,-2.694198059702802,0.2230440306012319,0.12689773624535866,-0.043170784083851506,0.06472862902246482,1.660644142200566,-0.75246072850625,-1.3731314620013269,-0.7152280376111764,3.8419626568831453,-1.2954969568946981,2.184822517837904,0.07529005672257374,-4.4886770125685755,4.514405550153301,-1.4838078810618782,-2.1764618403522653,-0.6732035380739494
