省份,行政区划代码,年份,总人口,城镇人口,0-14岁,65岁及以上,平均家庭规模,土地调查总面积（平方公里）,人口密度（人/平方公里）,log1p人口密度,城镇化率,老龄人口占比,少儿人口占比
云南,530000,2019,4714.0,2294.0,850.34,465.92,3.28,383194.1223,123.01858837775812,4.820431460642458,0.4866355536699194,0.09883750530335172,0.18038608400509124
云南,530000,2020,4722.0,2363.0,876.44,497.35,3.19,383194.1223,123.2273598472155,4.822113433864326,0.5004235493434985,0.10532613299449387,0.18560779330792038
云南,530000,2021,4690.0,2394.0,902.54,528.78,3.09,383194.1223,122.392273969386,4.81536849986281,0.5104477611940299,0.11274626865671641,0.19243923240938166
云南,530000,2022,4693.0,2427.0,879.82,547.56,3.15,383194.1223,122.4705632704325,4.816002773571616,0.5171532069038994,0.1166759002770083,0.18747496271041977
云南,530000,2023,4673.0,2473.0,855.77,558.42,3.15,383194.1223,121.94863459678906,4.811766663247052,0.5292103573721378,0.11949925101647763,0.18313075112347527
云南,530000,2024,4655.0,2518.82,830.98,561.79,2.74,383194.1223,121.47889879050997,4.807938760375878,0.5410998925886145,0.12068528464017185,0.17851342642320087
内蒙古,150000,2015,2440.0,1515.0,321.92,229.22,2.71,1145121.2296,21.307787655393582,3.104935839717147,0.6209016393442623,0.09394262295081968,0.1319344262295082
内蒙古,150000,2016,2436.0,1544.0,311.76,229.91,2.73,1145121.2296,21.272856855958512,3.103368755752059,0.6338259441707718,0.09438013136288999,0.12798029556650245
内蒙古,150000,2017,2433.0,1572.0,329.55,263.72,2.67,1145121.2296,21.246658756382207,3.102191829083383,0.6461159062885327,0.10839293053842994,0.13545006165228113
内蒙古,150000,2018,2422.0,1587.0,321.55,238.52,2.62,1145121.2296,21.15059905793576,3.0978645416304222,0.6552436003303055,0.09848059454995872,0.13276218001651527
内蒙古,150000,2019,2415.0,1605.0,314.61,246.25,2.58,1145121.2296,21.089470158924385,3.095101031581868,0.6645962732919255,0.10196687370600414,0.13027329192546586
内蒙古,150000,2020,2403.0,1622.0,322.02,289.21,2.54,1145121.2296,20.98467776061917,3.0903457452872005,0.6749895963379109,0.12035372451102787,0.1340074906367041
内蒙古,150000,2021,2400.0,1637.0,329.44,332.17,2.49,1145121.2296,20.95847966104287,3.089153382051723,0.6820833333333334,0.13840416666666666,0.13726666666666668
