实验编号,实验名称,保留指标域,权重规则,K,inertia,inertia_ratio,silhouette_score,calinski_harabasz_score,davies_bouldin_score,与M0的ARI一致性,类0省份数量,类1省份数量,类2省份数量,类3省份数量,类4省份数量
M0,四域等权主实验,人口域、经济域、口粮域、饲料粮域,四域重新等权，各域约25%,5,44.13083951113981,0.35589386702532105,0.2717289110064136,11.763871907457006,1.0177597623730288,1.0,6,3,11,10,1
C1,所有特征直接等权,人口域、经济域、口粮域、饲料粮域,仅逐列z-score，不做域权重校正,5,241.69119429109102,0.38982450692111453,0.2688079061572026,10.174169747145601,0.9588384903189014,0.3586751257187719,4,3,5,18,1
C2,移除人口域,经济域、口粮域、饲料粮域,剩余三域重新等权，各域约33.3%,5,27.515645111197475,0.2958671517333062,0.3056526927424368,15.469319547372672,0.9332738506391973,0.8151966020020368,8,3,10,9,1
C3,移除经济域,人口域、口粮域、饲料粮域,剩余三域重新等权，各域约33.3%,5,32.782411096458375,0.3524990440479395,0.2658672280397233,11.939766319241441,1.0417912524661035,0.4094661261173252,12,3,7,8,1
C4,移除口粮域,人口域、经济域、饲料粮域,剩余三域重新等权，各域约33.3%,5,35.19069812974998,0.37839460354569876,0.2976980406132961,10.677834829282904,0.9608517703542981,0.84617202268431,4,3,11,12,1
C5,移除饲料粮域,人口域、经济域、口粮域,剩余三域重新等权，各域约33.3%,5,31.409490070960523,0.33773645237591965,0.26503833006513694,12.745775675896345,1.0322625677477624,0.3954270342972428,4,3,16,7,1
