cluster,地区生产总值_均值,地区生产总值_最新年值,地区生产总值_首年值,地区生产总值_变化量,地区生产总值_变化率,地区生产总值_线性趋势斜率,地区生产总值_标准差,地区生产总值_变异系数,人均可支配收入_地区总计_均值,人均可支配收入_地区总计_最新年值,人均可支配收入_地区总计_首年值,人均可支配收入_地区总计_变化量,人均可支配收入_地区总计_变化率,人均可支配收入_地区总计_线性趋势斜率,人均可支配收入_地区总计_标准差,人均可支配收入_地区总计_变异系数,人均消费支出_地区总计_均值,人均消费支出_地区总计_最新年值,人均消费支出_地区总计_首年值,人均消费支出_地区总计_变化量,人均消费支出_地区总计_变化率,人均消费支出_地区总计_线性趋势斜率,人均消费支出_地区总计_标准差,人均消费支出_地区总计_变异系数,地区居民消费价格指数_总指数_均值,地区居民消费价格指数_总指数_最新年值,地区居民消费价格指数_总指数_首年值,地区居民消费价格指数_总指数_变化量,地区居民消费价格指数_总指数_变化率,地区居民消费价格指数_总指数_线性趋势斜率,地区居民消费价格指数_总指数_标准差,地区居民消费价格指数_总指数_变异系数,地区居民消费价格指数_食品_均值,地区居民消费价格指数_食品_最新年值,地区居民消费价格指数_食品_首年值,地区居民消费价格指数_食品_变化量,地区居民消费价格指数_食品_变化率,地区居民消费价格指数_食品_线性趋势斜率,地区居民消费价格指数_食品_标准差,地区居民消费价格指数_食品_变异系数,地区居民消费价格指数_粮食_均值,地区居民消费价格指数_粮食_最新年值,地区居民消费价格指数_粮食_首年值,地区居民消费价格指数_粮食_变化量,地区居民消费价格指数_粮食_变化率,地区居民消费价格指数_粮食_线性趋势斜率,地区居民消费价格指数_粮食_标准差,地区居民消费价格指数_粮食_变异系数
0,17080.419466666666,38720.066666666666,2736.8933333333334,35983.17333333333,13.731961205997546,1586.7676256410507,11643.791287499453,0.676836250876306,15083.857493333333,33748.066666666666,3044.808,30703.25866666667,10.19141144678124,1345.2500302564317,9880.675157732889,0.6562012844388954,10856.680053333333,23873.133333333335,2403.8,21469.333333333332,9.04334214897143,927.9662046153992,6804.3770992575355,0.6277003755047477,102.03146666666666,100.25333333333333,99.63333333333334,0.6199999999999989,0.006476472953273515,-0.016789743589747944,1.875349501943402,0.018380251137656376,104.0776,99.37333333333332,96.30666666666666,3.066666666666667,0.032008195658819384,-0.05764615384616672,5.273669724284477,0.050665751652379264,103.52053333333333,100.00666666666666,88.44,11.566666666666668,0.1319214031063642,-0.10529230769232509,6.896657344001809,0.06661339892316105
1,36717.709142857144,82248.02857142857,6261.728571428573,75986.3,11.756943486993041,3278.087714285765,23964.188581681934,0.6376825790927102,24122.993885714288,51037.28571428572,5497.792857142857,45539.49285714286,8.473424780892154,1995.4332472527778,14613.865976848561,0.6065041720988431,16650.941142857144,34222.71428571428,4192.714285714285,30030.0,7.315240945459971,1305.9273395604598,9544.821368884366,0.5754439281158806,101.92342857142856,100.18571428571428,100.61428571428571,-0.42857142857142655,-0.004180256892533696,0.002890109890107093,1.6282430227251952,0.01597566560727408,104.06171428571429,99.5,98.25714285714285,1.2428571428571433,0.012675744114434645,-0.03393406593407639,4.467195116410327,0.04292857568970056,103.47542857142857,100.10000000000001,89.39999999999999,10.7,0.12026719844635823,-0.11251648351649988,6.656017314173135,0.06430698344449261
2,22503.712,51884.899999999994,4045.0,47839.899999999994,12.206256510680014,1951.5563076923377,14263.895363356667,0.6351247227827546,41991.1424,86890.5,10143.0,76747.5,7.623323025652524,3392.140819230821,24765.372983006462,0.5898590328809212,28069.976000000002,51235.0,8104.5,43130.5,5.331813787080237,1902.4394961538733,13806.742566772038,0.49189659585433076,101.898,100.05,103.0,-2.950000000000003,-0.0286202427241664,-0.006923076923077734,1.5815282831002566,0.015521308159280553,103.85000000000001,98.55,98.0,0.5499999999999972,0.0056054827212439545,-0.08073076923077947,4.1411066622097135,0.03987671751616991,103.09,99.0,91.75,7.25,0.07903477572897882,-0.1498846153846301,6.526581520529838,0.06327332685241994
3,4727.845714285714,11429.399999999998,736.9857142857143,10692.414285714285,15.668083814852181,444.0715714285787,3272.6183612374757,0.7121454121641063,14392.311542857144,32463.85714285714,2771.445714285714,29692.411428571428,11.177888340301648,1277.3938296703495,9414.864132168217,0.656432046722737,10441.359657142855,22609.428571428572,2292.5,20316.928571428572,8.870197262802108,886.3887527472667,6501.554992851215,0.6270807515398623,102.252,100.17142857142858,100.04285714285713,0.12857142857143142,0.0013459578519704606,-0.031175824175828638,1.9086188382169456,0.018661425404960335,104.00457142857144,97.92857142857143,97.55714285714285,0.3714285714285686,0.0038079944696445722,-0.07768131868133006,4.79188158218201,0.04606065898546909,103.37885714285714,99.6857142857143,93.37142857142858,6.3142857142857185,0.06899319777182138,-0.05314285714286887,5.166712716297641,0.04996804280805478
