省份,year,exponential_decline,local_trend,robust_linear,median_robust_trend,indicator,indicator_code,forecast_method
上海,2025,89.28276170066661,85.76666666666667,87.58749999999999,87.58749999999999,口粮,grain_raw,median_of_robust_provincial_trend_models
上海,2026,85.67670115366957,79.03,81.57499999999999,81.57499999999999,口粮,grain_raw,median_of_robust_provincial_trend_models
上海,2027,82.66466619821752,73.23646666666667,75.5625,75.5625,口粮,grain_raw,median_of_robust_provincial_trend_models
上海,2028,80.14880312419893,68.254028,69.54999999999998,69.54999999999998,口粮,grain_raw,median_of_robust_provincial_trend_models
上海,2029,78.04737764248162,63.969130746666664,63.53749999999999,63.969130746666664,口粮,grain_raw,median_of_robust_provincial_trend_models
上海,2030,76.29211953610256,60.284119108800006,57.52499999999999,60.284119108800006,口粮,grain_raw,median_of_robust_provincial_trend_models
上海,2031,74.82600472650597,57.11500910023467,51.51249999999999,57.11500910023467,口粮,grain_raw,median_of_robust_provincial_trend_models
上海,2032,73.60140269954104,54.38957449286849,45.499999999999986,54.38957449286849,口粮,grain_raw,median_of_robust_provincial_trend_models
上海,2033,72.57852910558337,52.04570073053357,39.48749999999998,52.04570073053357,口粮,grain_raw,median_of_robust_provincial_trend_models
上海,2034,71.72415326251134,50.029969294925536,33.47499999999998,50.029969294925536,口粮,grain_raw,median_of_robust_provincial_trend_models
上海,2035,71.01051857144387,48.29644026030263,27.462499999999977,48.29644026030263,口粮,grain_raw,median_of_robust_provincial_trend_models
云南,2025,112.74810291686745,110.60000000000001,112.228125,112.228125,口粮,grain_raw,median_of_robust_provincial_trend_models
云南,2026,108.19429568764684,104.06400000000001,106.25625000000001,106.25625000000001,口粮,grain_raw,median_of_robust_provincial_trend_models
云南,2027,104.39063616056956,98.44304000000001,100.28437500000001,100.28437500000001,口粮,grain_raw,median_of_robust_provincial_trend_models
云南,2028,101.21355266325122,93.6090144,94.3125,94.3125,口粮,grain_raw,median_of_robust_provincial_trend_models
云南,2029,98.55982945877487,89.45175238400002,88.34062500000002,89.45175238400002,口粮,grain_raw,median_of_robust_provincial_trend_models
云南,2030,96.34325351674491,85.87650705024001,82.36875,85.87650705024001,口粮,grain_raw,median_of_robust_provincial_trend_models
云南,2031,94.4918136610364,82.80179606320641,76.39687500000001,82.80179606320641,口粮,grain_raw,median_of_robust_provincial_trend_models
云南,2032,92.94536110134351,80.15754461435753,70.42500000000001,80.15754461435753,口粮,grain_raw,median_of_robust_provincial_trend_models
云南,2033,91.65365534487131,77.88348836834747,64.45312500000001,77.88348836834747,口粮,grain_raw,median_of_robust_provincial_trend_models
云南,2034,90.57473200458163,75.92779999677883,58.48125000000002,75.92779999677883,口粮,grain_raw,median_of_robust_provincial_trend_models
云南,2035,89.6735394780413,74.2459079972298,52.50937500000002,74.2459079972298,口粮,grain_raw,median_of_robust_provincial_trend_models
内蒙古,2025,162.70197022938885,161.00000000000003,162.6527777777778,162.6527777777778,口粮,grain_raw,median_of_robust_provincial_trend_models
内蒙古,2026,160.69933160211963,157.73200000000006,160.5055555555556,160.5055555555556,口粮,grain_raw,median_of_robust_provincial_trend_models
内蒙古,2027,158.78774696799763,154.92152000000004,158.35833333333338,158.35833333333338,口粮,grain_raw,median_of_robust_provincial_trend_models
内蒙古,2028,156.96307637408526,152.50450720000006,156.21111111111117,156.21111111111117,口粮,grain_raw,median_of_robust_provincial_trend_models
内蒙古,2029,155.22136809873186,150.4258761920001,154.06388888888895,154.06388888888895,口粮,grain_raw,median_of_robust_provincial_trend_models
内蒙古,2030,153.55885009325996,148.6382535251201,151.91666666666674,151.91666666666674,口粮,grain_raw,median_of_robust_provincial_trend_models
内蒙古,2031,151.97192181277197,147.1008980316033,149.76944444444453,149.76944444444453,口粮,grain_raw,median_of_robust_provincial_trend_models
内蒙古,2032,150.45714641838592,145.77877230717885,147.62222222222232,147.62222222222232,口粮,grain_raw,median_of_robust_provincial_trend_models
内蒙古,2033,149.01124333401225,144.64174418417383,145.4750000000001,145.4750000000001,口粮,grain_raw,median_of_robust_provincial_trend_models
内蒙古,2034,147.63108114155162,143.66389999838952,143.3277777777779,143.66389999838952,口粮,grain_raw,median_of_robust_provincial_trend_models
内蒙古,2035,146.31367079912684,142.822953998615,141.18055555555569,142.822953998615,口粮,grain_raw,median_of_robust_provincial_trend_models
北京,2025,82.31946938854198,78.43333333333332,80.5625,80.5625,口粮,grain_raw,median_of_robust_provincial_trend_models
北京,2026,78.99465074318039,71.66799999999999,74.82499999999999,74.82499999999999,口粮,grain_raw,median_of_robust_provincial_trend_models
北京,2027,76.21752877036508,65.84981333333333,69.08749999999999,69.08749999999999,口粮,grain_raw,median_of_robust_provincial_trend_models
北京,2028,73.89788151301676,60.84617279999999,63.34999999999999,63.34999999999999,口粮,grain_raw,median_of_robust_provincial_trend_models
北京,2029,71.96034925797184,56.54304194133332,57.61249999999998,57.61249999999998,口粮,grain_raw,median_of_robust_provincial_trend_models
北京,2030,70.3419862816843,52.84234940287999,51.874999999999986,52.84234940287999,口粮,grain_raw,median_of_robust_provincial_trend_models
北京,2031,68.99021589634044,49.65975381981013,46.13749999999998,49.65975381981013,口粮,grain_raw,median_of_robust_provincial_trend_models
北京,2032,67.86112236079478,46.92272161837004,40.39999999999998,46.92272161837004,口粮,grain_raw,median_of_robust_provincial_trend_models
北京,2033,66.91802416465646,44.56887392513156,34.66249999999997,44.56887392513156,口粮,grain_raw,median_of_robust_provincial_trend_models
北京,2034,66.13028233498642,42.54456490894648,28.92499999999997,42.54456490894648,口粮,grain_raw,median_of_robust_provincial_trend_models
北京,2035,65.47230505038041,40.803659155027304,23.18749999999997,40.803659155027304,口粮,grain_raw,median_of_robust_provincial_trend_models
吉林,2025,141.9887406958595,140.36666666666667,141.92000000000002,141.92000000000002,口粮,grain_raw,median_of_robust_provincial_trend_models
吉林,2026,139.80969403331326,136.984,139.54000000000002,139.54000000000002,口粮,grain_raw,median_of_robust_provincial_trend_models
吉林,2027,137.75529695677255,134.0749066666667,137.16000000000003,137.16000000000003,口粮,grain_raw,median_of_robust_provincial_trend_models
吉林,2028,135.81841904560045,131.57308640000002,134.78000000000003,134.78000000000003,口粮,grain_raw,median_of_robust_provincial_trend_models
吉林,2029,133.9923377657812,129.4215209706667,132.40000000000003,132.40000000000003,口粮,grain_raw,median_of_robust_provincial_trend_models
吉林,2030,132.27071513728606,127.57117470144004,130.02000000000004,130.02000000000004,口粮,grain_raw,median_of_robust_provincial_trend_models
吉林,2031,130.64757573615276,125.9798769099051,127.64000000000003,127.64000000000003,口粮,grain_raw,median_of_robust_provincial_trend_models
吉林,2032,129.11728595492806,124.61136080918507,125.26000000000003,125.26000000000003,口粮,grain_raw,median_of_robust_provincial_trend_models
吉林,2033,127.67453444949008,123.43443696256583,122.88000000000004,123.43443696256583,口粮,grain_raw,median_of_robust_provincial_trend_models
吉林,2034,126.3143137043854,122.42228245447329,120.50000000000004,122.42228245447329,口粮,grain_raw,median_of_robust_provincial_trend_models
吉林,2035,125.0319026526974,121.5518295775137,118.12000000000005,121.5518295775137,口粮,grain_raw,median_of_robust_provincial_trend_models
四川,2025,112.46194021910893,109.9,110.89616666666667,110.89616666666667,口粮,grain_raw,median_of_robust_provincial_trend_models
四川,2026,107.91969087625688,103.02000000000001,103.89233333333334,103.89233333333334,口粮,grain_raw,median_of_robust_provincial_trend_models
四川,2027,104.12568530737015,97.10320000000002,96.8885,97.10320000000002,口粮,grain_raw,median_of_robust_provincial_trend_models
