省份,year,indicator,indicator_code,raw_model_reference,median_of_models
山东,2029,口粮,grain_raw,median_of_models,106.05383918101381
山东,2030,口粮,grain_raw,median_of_models,104.13719699995502
山东,2031,口粮,grain_raw,median_of_models,102.2962156677957
山东,2032,口粮,grain_raw,median_of_models,100.54969220683226
山东,2033,口粮,grain_raw,median_of_models,98.91128996988918
山东,2034,口粮,grain_raw,median_of_models,97.38981536176888
山东,2035,口粮,grain_raw,median_of_models,95.91893814865529
山西,2025,口粮,grain_raw,median_of_models,118.09833333333316
山西,2026,口粮,grain_raw,median_of_models,113.57773636363612
山西,2027,口粮,grain_raw,median_of_models,109.59673206060575
山西,2028,口粮,grain_raw,median_of_models,106.0797774509087
山西,2029,口粮,grain_raw,median_of_models,102.96190557747832
山西,2030,口粮,grain_raw,median_of_models,100.18724485723726
山西,2031,口粮,grain_raw,median_of_models,97.70774572873904
山西,2032,口粮,grain_raw,median_of_models,95.48208556913966
山西,2033,口粮,grain_raw,median_of_models,93.47472692279327
山西,2034,口粮,grain_raw,median_of_models,91.65510757784445
山西,2035,口粮,grain_raw,median_of_models,89.99694403209755
广东,2025,口粮,grain_raw,median_of_models,106.65529930998837
广东,2026,口粮,grain_raw,median_of_models,104.92230861413762
广东,2027,口粮,grain_raw,median_of_models,103.30564743010848
广东,2028,口粮,grain_raw,median_of_models,101.84701729180986
广东,2029,口粮,grain_raw,median_of_models,100.57452695644048
广东,2030,口粮,grain_raw,median_of_models,99.50358926700683
广东,2031,口粮,grain_raw,median_of_models,98.63872388032033
广东,2032,口粮,grain_raw,median_of_models,97.97581331922567
广东,2033,口粮,grain_raw,median_of_models,97.50444128750695
广东,2034,口粮,grain_raw,median_of_models,97.21005186035592
广东,2035,口粮,grain_raw,median_of_models,97.07577790541907
广西,2025,口粮,grain_raw,median_of_models,120.86019077769734
广西,2026,口粮,grain_raw,median_of_models,117.35687645930517
广西,2027,口粮,grain_raw,median_of_models,113.87012479426915
广西,2028,口粮,grain_raw,median_of_models,110.48459224091214
广西,2029,口粮,grain_raw,median_of_models,107.26512413084775
广西,2030,口粮,grain_raw,median_of_models,104.32184158067673
广西,2031,口粮,grain_raw,median_of_models,102.21688678968516
广西,2032,口粮,grain_raw,median_of_models,100.28987415428065
广西,2033,口粮,grain_raw,median_of_models,98.51589177268148
广西,2034,口粮,grain_raw,median_of_models,96.8735154093547
广西,2035,口粮,grain_raw,median_of_models,95.34432022174191
新疆,2025,口粮,grain_raw,median_of_models,120.86188551696546
新疆,2026,口粮,grain_raw,median_of_models,117.62376205876436
新疆,2027,口粮,grain_raw,median_of_models,115.06312526189569
新疆,2028,口粮,grain_raw,median_of_models,113.11981632698357
新疆,2029,口粮,grain_raw,median_of_models,111.73833817301725
新疆,2030,口粮,grain_raw,median_of_models,110.86620079674199
新疆,2031,口粮,grain_raw,median_of_models,109.75012243924131
新疆,2032,口粮,grain_raw,median_of_models,108.706073164364
新疆,2033,口粮,grain_raw,median_of_models,107.81755020038217
新疆,2034,口粮,grain_raw,median_of_models,107.05981497465888
新疆,2035,口粮,grain_raw,median_of_models,106.41252540055416
江苏,2025,口粮,grain_raw,median_of_models,132.87610595161854
江苏,2026,口粮,grain_raw,median_of_models,134.08421893155156
江苏,2027,口粮,grain_raw,median_of_models,135.24820299847653
江苏,2028,口粮,grain_raw,median_of_models,136.36318855475372
江苏,2029,口粮,grain_raw,median_of_models,137.42671386851964
江苏,2030,口粮,grain_raw,median_of_models,138.43845371995445
江苏,2031,口粮,grain_raw,median_of_models,139.39982555335033
江苏,2032,口粮,grain_raw,median_of_models,140.31354821587485
江苏,2033,口粮,grain_raw,median_of_models,141.1832130845363
江苏,2034,口粮,grain_raw,median_of_models,142.0129069169683
江苏,2035,口粮,grain_raw,median_of_models,142.80690616912997
江西,2025,口粮,grain_raw,median_of_models,156.06921220600628
江西,2026,口粮,grain_raw,median_of_models,156.14450977501753
江西,2027,口粮,grain_raw,median_of_models,156.040410622642
江西,2028,口粮,grain_raw,median_of_models,155.83798608946557
江西,2029,口粮,grain_raw,median_of_models,155.6105249554169
江西,2030,口粮,grain_raw,median_of_models,155.41832143731375
江西,2031,口粮,grain_raw,median_of_models,155.30668629491538
江西,2032,口粮,grain_raw,median_of_models,155.3062946914933
江西,2033,口粮,grain_raw,median_of_models,155.39796202603856
江西,2034,口粮,grain_raw,median_of_models,155.49734457945078
江西,2035,口粮,grain_raw,median_of_models,155.69756561587536
河北,2025,口粮,grain_raw,median_of_models,171.87878955148892
河北,2026,口粮,grain_raw,median_of_models,174.7861627089294
河北,2027,口粮,grain_raw,median_of_models,177.27033368333358
河北,2028,口粮,grain_raw,median_of_models,178.64530092288027
河北,2029,口粮,grain_raw,median_of_models,179.64215952547417
河北,2030,口粮,grain_raw,median_of_models,180.33680928513496
河北,2031,口粮,grain_raw,median_of_models,180.79946025194533
河北,2032,口粮,grain_raw,median_of_models,181.09157480675344
河北,2033,口粮,grain_raw,median_of_models,181.26470701481355
河北,2034,口粮,grain_raw,median_of_models,181.36057419198949
河北,2035,口粮,grain_raw,median_of_models,181.41185012693788
河南,2025,口粮,grain_raw,median_of_models,148.275776516066
河南,2026,口粮,grain_raw,median_of_models,148.73217933060408
河南,2027,口粮,grain_raw,median_of_models,148.980469833575
河南,2028,口粮,grain_raw,median_of_models,149.13144526439982
