省份,year,indicator,indicator_code,model,value_kg_per_capita,train_start_year,train_end_year,sample_count,status,detail
云南,2026,口粮,grain_raw,mlp,117.90577890922036,2015,2024,10,success,
云南,2027,口粮,grain_raw,mlp,114.41045577498224,2015,2024,10,success,
云南,2028,口粮,grain_raw,mlp,110.96646145195874,2015,2024,10,success,
云南,2029,口粮,grain_raw,mlp,107.69585198657107,2015,2024,10,success,
云南,2030,口粮,grain_raw,mlp,104.6894626872664,2015,2024,10,success,
云南,2031,口粮,grain_raw,mlp,102.0071163111859,2015,2024,10,success,
云南,2032,口粮,grain_raw,mlp,99.68098798096288,2015,2024,10,success,
云南,2033,口粮,grain_raw,mlp,97.72063337517709,2015,2024,10,success,
云南,2034,口粮,grain_raw,mlp,96.11850813108293,2015,2024,10,success,
云南,2035,口粮,grain_raw,mlp,94.85518802042262,2015,2024,10,success,
内蒙古,2025,口粮,grain_raw,arima,161.8216666666667,2015,2024,10,success,
内蒙古,2026,口粮,grain_raw,arima,159.26030000000003,2015,2024,10,success,
内蒙古,2027,口粮,grain_raw,arima,157.0575246666667,2015,2024,10,success,
内蒙古,2028,口粮,grain_raw,arima,155.16313788000002,2015,2024,10,success,
内蒙古,2029,口粮,grain_raw,arima,153.5339652434667,2015,2024,10,success,
内蒙古,2030,口粮,grain_raw,arima,152.13287677604802,2015,2024,10,success,
内蒙古,2031,口粮,grain_raw,arima,150.92794069406798,2015,2024,10,success,
内蒙古,2032,口粮,grain_raw,arima,149.89169566356514,2015,2024,10,success,
内蒙古,2033,口粮,grain_raw,arima,149.0005249373327,2015,2024,10,success,
内蒙古,2034,口粮,grain_raw,arima,148.2341181127728,2015,2024,10,success,
内蒙古,2035,口粮,grain_raw,arima,147.57500824365127,2015,2024,10,success,
内蒙古,2025,口粮,grain_raw,linear_regression,166.8466666666659,2015,2024,10,success,
内蒙古,2026,口粮,grain_raw,linear_regression,167.98060606060517,2015,2024,10,success,
内蒙古,2027,口粮,grain_raw,linear_regression,169.1145454545449,2015,2024,10,success,
内蒙古,2028,口粮,grain_raw,linear_regression,170.24848484848417,2015,2024,10,success,
内蒙古,2029,口粮,grain_raw,linear_regression,171.38242424242344,2015,2024,10,success,
内蒙古,2030,口粮,grain_raw,linear_regression,172.5163636363627,2015,2024,10,success,
内蒙古,2031,口粮,grain_raw,linear_regression,173.65030303030198,2015,2024,10,success,
内蒙古,2032,口粮,grain_raw,linear_regression,174.7842424242417,2015,2024,10,success,
内蒙古,2033,口粮,grain_raw,linear_regression,175.91818181818098,2015,2024,10,success,
内蒙古,2034,口粮,grain_raw,linear_regression,177.05212121212026,2015,2024,10,success,
内蒙古,2035,口粮,grain_raw,linear_regression,178.18606060605953,2015,2024,10,success,
内蒙古,2025,口粮,grain_raw,logistic_curve,167.12737553242775,2015,2024,10,success,
内蒙古,2026,口粮,grain_raw,logistic_curve,168.15230665720316,2015,2024,10,success,
内蒙古,2027,口粮,grain_raw,logistic_curve,169.12604744259977,2015,2024,10,success,
内蒙古,2028,口粮,grain_raw,logistic_curve,170.04504420547795,2015,2024,10,success,
内蒙古,2029,口粮,grain_raw,logistic_curve,170.90696596396788,2015,2024,10,success,
内蒙古,2030,口粮,grain_raw,logistic_curve,171.71062749639583,2015,2024,10,success,
内蒙古,2031,口粮,grain_raw,logistic_curve,172.45587715433234,2015,2024,10,success,
内蒙古,2032,口粮,grain_raw,logistic_curve,173.14346147607105,2015,2024,10,success,
内蒙古,2033,口粮,grain_raw,logistic_curve,173.77487792945848,2015,2024,10,success,
内蒙古,2034,口粮,grain_raw,logistic_curve,174.352225564478,2015,2024,10,success,
内蒙古,2035,口粮,grain_raw,logistic_curve,174.87806134786982,2015,2024,10,success,
内蒙古,2025,口粮,grain_raw,mlp,162.70923492582924,2015,2024,10,success,
内蒙古,2026,口粮,grain_raw,mlp,162.5982909527,2015,2024,10,success,
内蒙古,2027,口粮,grain_raw,mlp,162.766850681986,2015,2024,10,success,
内蒙古,2028,口粮,grain_raw,mlp,163.29400755992782,2015,2024,10,success,
内蒙古,2029,口粮,grain_raw,mlp,164.23120559640785,2015,2024,10,success,
内蒙古,2030,口粮,grain_raw,mlp,165.60450601931512,2015,2024,10,success,
内蒙古,2031,口粮,grain_raw,mlp,167.41845613986422,2015,2024,10,success,
内蒙古,2032,口粮,grain_raw,mlp,169.66072757480285,2015,2024,10,success,
内蒙古,2033,口粮,grain_raw,mlp,172.30683730106443,2015,2024,10,success,
内蒙古,2034,口粮,grain_raw,mlp,175.32446570172934,2015,2024,10,success,
内蒙古,2035,口粮,grain_raw,mlp,178.6770903637122,2015,2024,10,success,
北京,2025,口粮,grain_raw,arima,83.28,2015,2024,10,success,
北京,2026,口粮,grain_raw,arima,80.6828,2015,2024,10,success,
北京,2027,口粮,grain_raw,arima,78.449208,2015,2024,10,success,
北京,2028,口粮,grain_raw,arima,76.52831888,2015,2024,10,success,
北京,2029,口粮,grain_raw,arima,74.8763542368,2015,2024,10,success,
