cluster,饲料粮均值,饲料粮最新年值,饲料粮首年值,饲料粮变化量,饲料粮变化率,饲料粮线性趋势斜率,饲料粮标准差,饲料粮变异系数
0,144.57322499999998,157.355,134.199375,23.155624999999993,0.17185979601222107,3.6305833333335076,12.913884474724181,0.09051436599770987
1,135.11849999999998,170.651,105.601,65.05000000000001,0.6227995116891478,8.680563636363978,26.664298843066625,0.19855181121149107
2,178.90473333333333,213.6783333333333,153.03966666666668,60.638666666666666,0.3998836723403471,7.505602020202336,24.93563288694825,0.14015171882779584
3,83.08742857142856,94.17714285714285,75.11714285714287,19.059999999999995,0.2775515215632164,2.868311688311821,10.758104386616884,0.12933097713814207
