cluster,口粮均值,口粮最新年值,口粮首年值,口粮变化量,口粮变化率,口粮线性趋势斜率,口粮标准差,口粮变异系数
0,117.21178571428572,105.43571428571428,122.23571428571428,-16.8,-0.13273740892633776,-0.8961601731601773,8.24193906936986,0.07064706505924899
1,206.45,124.0,276.9,-152.89999999999998,-0.5521849042975803,-17.324242424242783,53.575502797453986,0.25950836908430125
2,147.93533333333335,124.53333333333335,167.51333333333335,-42.98,-0.2538037530315273,-4.0690505050505905,13.870219110902957,0.09407879353567655
3,143.4509230769231,140.48461538461538,138.13615384615383,2.348461538461542,0.020428689483338404,1.5521585081585756,9.520809240291841,0.06620040129132235
